Nº;CANTON:;NOMBRE DEL LOCAL:;DIRECCIÓN:;A1;A2;B3;B4;C5;C6;C7;C8;C9;D10;D11;E12;E13;E14;E15;F161;F17;F18;G19;G20;G21;H22;H23;H24;I25;I26;I27;I281;J291;J30;K31
1;ROCAFUERTE;TALLER DE CERRAJERIA ZAMBRANO;La Californía;1,82;1,8;2,8;1;2,18;2;3,57;3,5;2;3,33;3,57;4,63;2,71;3,5;1,75;44 HORAS;1,71;3,2;1;1,64;5;1,67;3,67;1;1,33;2,2;2,17;2;800;2;3,94
2;SUCRE;VENTA DE ARROZ COOX;Cañitas;1,36;1;2,4;1,6;2;2;3,57;3,5;2;3,33;3,14;5;2,86;3,67;2;44 HORAS;1,71;3,6;1;1,64;5;2,5;3,67;1;1,17;2;2,17;2;1000;1,83;4
3;SUCRE;TALLER DE MECANICA FARIAS;Charapoto - Cristo Rey;1,55;1,4;2,2;1;1,18;1,57;3,14;3,5;2;3,33;3,14;4,25;1,86;3;1,75;44 HORAS;1,71;2,6;1,33;1,73;5;1,83;3,67;1;1,17;2;1,83;2;1100;2;4
4;SUCRE;TALLER AUTOMOTRIZ BERMUDEZ;Charapoto - Santa Teresa;1,36;1;2,8;1;1,73;1,43;3,14;3,5;2;3,33;4;4,13;1,86;3,33;1,5;48 HORAS;1,57;2,6;1;1,45;5;2,33;3,67;1;1,33;2;2;3;800;1,92;3,94
5;ROCAFUERTE;VENTA DE ARROZ GARCÍA;Av Don Bosco;1,27;1,4;1,4;1;1,82;1,57;3,14;2,5;2;2,67;5;5;1,29;2,83;1,38;45 HORAS;1,29;3,8;1;1,45;5;1,5;4,67;1;1;1;2,17;2;1500;2,33;3,39
6;SUCRE;CONFECCIONES MARÍA;Av Las Américas y Paquisha;1,64;1,4;2;1;2;1,43;3,43;5;5;4;5;3,88;2,86;1,67;1,63;52 HORAS;2,14;2;1;1,64;5;1,17;5;1,33;1,67;1,4;2,17;2;1200;1,75;4,28
7;ROCAFUERTE;DEPOSITO DE MADERA ROMERO;Callejón Ozaeta;1,55;1,8;1,4;2;1,55;1,71;4,14;4,33;2;4,11;5;5;2,14;3;1,88;48 HORAS;1,43;3;1;2,18;5;1,5;4;1;1,17;1,4;2,17;3;1200;1,67;4,67
8;ROCAFUERTE;REPARACIÓN DE BICICLETA ANGEL;Independencia y Atahualpa;1,82;1,4;2,2;2;1,36;2;4,43;3,67;2;4,11;5;4,5;2,71;2,67;1,75;47 HORAS;1,86;2,8;1;2,27;5;1,5;3,67;1;1;1,6;2,17;2;800;1,83;4,67
9;SUCRE;TIENDA TAURINO;Cañitas - Charapoto;1,64;1;1,8;1;1,18;1,29;3,86;5;5;4,11;5;5;2,57;3,33;1,88;50 HORAS;1,43;2,8;1;2,09;5;2,17;3,67;1,33;1,67;1,6;2;2;900;2;4,56
10;SUCRE;VENTA DE CERDO;Cañitas - Charapoto;2,36;1,2;2,4;2;2,18;1,57;4,14;4,33;2;4,11;3,14;5;2,29;3,67;1,75;45 HORAS;1,43;3,4;1;2,64;5;2;4;1;1,83;2;2,5;2;1100;2,25;4,72
11;ROCAFUERTE;PILADORA SANTA MONICA;San Eloy ;1,91;2;2,8;1,4;1,27;1,71;3,29;4;2;4,11;3,29;4,25;2,29;1,67;2;48 HORAS;1,86;3,2;1,67;2,18;5;1,67;3,67;2;1,33;2,2;2;2;2600;2;4,56
12;ROCAFUERTE;VENTA DE GANADO;Calle Bolivar y Santa Gema;1,64;1;2,6;2;1,73;1,86;3,86;4,33;1,333333333;4,11;5;4,25;2,14;2,33;1,63;46 HORAS;1,86;2,4;1;2,18;5;2;5;1;1,5;2,4;2,17;2;1800;1,5;4,78
13;ROCAFUERTE;FRIO COORP;Las Peñas;1,73;1;2,4;1;1,91;1,86;3,71;4,33;2;4,56;5;4,25;2,14;2,67;2;48 HORAS;1,43;2,8;1;1,82;5;1,5;3,67;1;1,17;2,6;2,33;2;1500;2;4,78
14;ROCAFUERTE;VENTA DE COCO;Valdez;1,91;1,4;2,8;1;1,18;2,14;4,57;4,33;2;4,11;5;5;2;3,67;1,88;50 HORAS;1,86;2,8;1;2,09;5;2;3,67;1;2,17;2,2;2,67;2;1100;1,83;4,83
15;SUCRE;VENTA DE ARROZ;Puerto Cañita - Charapoto;1;1;1,2;1;1,09;1,14;1;3,67;1;3,22;1;4,38;3,29;3,67;1,75;50 HORAS;1;4,6;1;1,64;4,833333333;2;5;1;1;1;2,33;2;1200;1,33;5
16;SUCRE;DISTRIBUIDOR DE EMBUTIDOS;Av Las Américas ;1,55;1;2,2;1,2;1,91;1,57;3,14;3,83;5;3;5;4,25;1,57;2;1,25;44 HORAS;1,86;2,6;1;1,91;5;1;4;1;1;1,2;2,5;2;1200;1,83;4,33
17;PORTOVIEJO;FARMACIA JORDANA;Parroquia Abdon Calderon;1,82;1;2;1;1,73;1,14;2,71;5;5;4,11;5;5;1,71;2,5;1,88;45 HORAS;1,43;3,2;1;1,55;5;1,5;5;1;1;1;2,33;1;1200;1;4,83
18;PORTOVIEJO;NOVEDADES FRANCIS;Parroquia Abdon Calderon;1;1,8;3,2;1,4;1,55;1,29;3,14;5;5;3,33;5;5;2,43;3,5;1,38;48 HORAS;1,57;2,8;1;1,55;5;2,17;4;1;1,33;1,2;2,33;2;900;1,5;4,67
19;PORTOVIEJO;FERRETERIA QUIROZ;Parroquia Abdon Calderon;1,55;1;2,4;1,4;2;1,29;4;5;5;4,11;5;4,88;1,71;2,33;1,88;48 HORAS;1,71;2,8;1;1,91;5;2;3,67;1;1;1,2;1,83;3;2100;1,67;4,5
20;PORTOVIEJO;JOSHUA'S PC;Cordova y Morales;1,27;1,4;2;1,6;2,18;1,14;1;3;1;2,67;1;3,75;3,14;2,67;1,88;48 HORAS;2,14;4;1;1,55;4;2;4;1;1,67;1,4;1,5;2;800;2;3,89
21;PORTOVIEJO;DISTRIBUIDORA PAWER CELL;Parroquia Abdon Calderon;1,09;1,8;3,2;1,4;2,55;0,14;3,43;5;5;3,67;5;5;2,71;3,67;1,63;48 HORAS;1,43;3,2;1;1,73;5;2,17;3,67;1;1;1,2;2,5;1;1200;1,83;4,67
22;PORTOVIEJO;SABOR CRIOLLO;Parroquia Abdon Calderon;1,27;1,2;2,8;1,2;1,36;1,71;3,29;5;5;4,11;5;5;2,29;3;1,5;48 HORAS;1,43;2,2;1,33;2,18;5;1;3,67;1;1;1,2;1,67;2;600;1,92;4,83
23;PORTOVIEJO;OPTICA GLASSES;Parroquia Abdon Calderon;1,27;1;1,6;1;1,73;1,14;3;2,5;1;2;1;5;4,43;2,83;1,88;56 HORAS;1,29;4,6;1;1,55;5;1,67;2,67;3;1;1;2,83;2;1000;1,83;4,67
24;ROCAFUERTE;VENTA DE ARROZ LOPÉZ;El Ceibal;1,45;1,2;2,8;1,6;1,36;1,86;4,57;5;5;4,11;5;5;2,57;4,33;1,5;48 HORAS;1,29;2,8;1;1,91;5;1,67;5;1;1;2;2,17;2;1500;2,17;4,72
25;ROCAFUERTE;VENTA DE ARROZ CUSME;San Andres;2;2,2;2,8;1;2,27;0,14;4;5;5;3,67;1,86;5;2,43;3,83;2,25;56 HORAS;2,29;3;1;2;5;2;5;1;2,17;1,8;2,5;1;1600;2,25;4,67
26;ROCAFUERTE;RIZAM;Calle Eloy Alfaro y Atahualpa;1,73;1,6;1,6;1;1,27;1,29;4,14;5;5;3,67;5;4,88;1,29;1,5;1,75;50 HORAS;1,71;2,6;1;2,18;5;1,5;3,67;1,33;1;1,2;2,5;2;1500;1,42;4,67
27;SUCRE;ELECTRICISTA CANTOS;Calle 10 de Agosto - Charapoto;1;1;1;1;1,09;1,14;1;2,5;1;3;1;2,75;2,29;2,67;1,75;50 HORAS;2,14;4;1;1,55;4,833333333;2;4;1;1;1;2;2;1400;1,33;3,89
28;ROCAFUERTE;VENTA DE FRUTAS Y VERDURAS ESMERALDAS;Calle Atanacio Santos;1;1;1;1;1,36;1,14;1;3;1;3,67;1;4,88;3;3,83;1,75;60 HORAS;2,43;3,2;1;1,55;5;2;4;1;1;1;2,33;2;1500;1,33;4,83
29;SUCRE;CD VEGA;Cañitas - Charapoto;1;1;1;1;1,36;1,14;1;2,5;1;3;1;4;2,86;3,83;1,75;64 HORAS;2,14;4;1;1,27;5;2;4;1;1;1;2;2;1000;1,33;4,83
30;SUCRE;VENTA DE ARROZ DEMERA;San Silvestre - Charapoto;1;1;1;1;1,36;1,14;1,14;3,67;1;3,11;1;3,5;3,71;3,17;1,5;50 HORAS;1,57;4,2;1;1,64;5;1,67;4;1;1;1;1,17;2;1000;1,33;3,89
31;SUCRE;HOSPEDAJE MUÑOZ;San Jacinto;1;1,2;1,4;1,2;1,18;1,14;1,29;3,67;1;3,33;1;4,25;2,71;4,33;1,63;66 HORAS;1,43;3,6;1;1,64;5;1,33;4;1;1;1;2,17;2;1200;1,33;4,72
32;ROCAFUERTE;CERRAJERIA ZAMBRANO;Calle 20 de Junio y Atahualpa;1;1;1;1;1,45;1,14;1;3,5;1;3,78;1;2,13;1,71;1,83;1,25;48 HORAS;1,43;3,6;1;1,64;5;1,33;4;1;1;1;2,33;2;1000;1,33;4,72
33;SUCRE;SERVICIOS CONTABLES MURILLO;Calle Francisco Pacheco y José Gilces;1;1;1;1;1,36;1,14;3,14;3,67;1;3,33;1;5;2,71;3,83;1;50 HORAS;1,43;3,6;1;1,64;5;1,33;4;1;1;1;2,17;2;1600;1,33;4,72
34;SUCRE;VENTA DE ROPA ZAMBRANO;Av Las Americas;1,27;1,6;1,4;1;1,18;2;2,29;4,5;2;3,67;5;5;2,57;3,83;1,75;48 HORAS;1,57;3;1;1,82;5;1,67;3,67;1,67;1,33;2;3,17;2;1200;2;4,61
35;ROCAFUERTE;PRODUCTOS LACTEOS CORRAL;Vìa Danzaín;1,27;1,6;2,2;2;1,82;1,71;3,43;5;5;4,33;5;5;2,29;2,67;1,88;48 HORAS;1,57;2,8;1,33;2;5;1,5;4;1;1,17;1,4;2;3;1600;1,92;4,67
36;ROCAFUERTE;VENTA DE MARISCO GARCIA;San Andres;1,27;1,2;1,6;1;2,36;1,14;1;3;2;3,33;1,86;3,25;2,86;2,5;1,75;66 HORAS;2,43;4;1;1,55;5;2,33;4;1;1;1;1,17;2;1000;2;4
37;PORTOVIEJO;DELICIOUS;Parroquia Abdon Calderon;1,91;1,4;2,8;1;1,45;1,14;3,29;5;5;4,11;1,14;4,25;2;1,83;1,75;48 HORAS;1,14;2,6;1;1,36;5;1,17;3,67;1;1,33;1,6;1,83;2;600;1,42;4,28
38;PORTOVIEJO;IMPRENTA Y PAPELERIA MERA;Av Del Ejercito (terminal terrestre);1,36;2;2;1;0,09;0,14;3,14;3,17;2;3,67;1,43;4,5;3,71;4;1,63;48 HORAS;2,29;3,6;1;1,64;5;1,5;4;1,33;1;1,4;2,17;2;1200;1,58;4,44
39;SUCRE;VENTA DE MARISCO JOSEFA;Quito Norte;1,36;1,6;2,4;1;1,91;1,14;3,57;5;5;3,33;5;4,5;1,86;2;1,75;40 HORAS;2,43;2,2;1;1,91;5;1,17;4;1;1,33;1,4;2,5;2;800;2,25;4,44
40;PORTOVIEJO;MOTOS VENZA;Parroquia Abdon Calderon;1,36;1,8;3;1;1,55;1,14;4,14;5;5;4,11;5;3,88;1,86;2,33;1,38;48 HORAS;1,43;2,6;1;1,64;5;1,67;3,67;1;1;1,4;2,33;2;2200;1,58;4,33
41;ROCAFUERTE;VENTA DE AGUA EN BIDON LEÓN;San Andres;1,91;2;2;1,4;2,18;1,14;2;2,83;2;1,78;4;4;2,29;2;1;56 HORAS;2;2,6;1;2;4,333333333;1;4;1;2;2;1;1;800;2;3,83
42;SUCRE;DEPOSITO DE MADERA ZAMBRANO;Av Las Américas;1,64;1,4;2;2,2;1,18;1,29;3,71;5;5;4,22;5;4,25;1,86;2,17;1,38;50 HORAS;1,86;4,4;1;2,36;5;1,33;3,67;1;1;1,8;2,33;2;1600;2,17;4,72
43;SUCRE;TAPICERIA MACIAS;Calle 10 de Agosto y Eloy Alfaro;1,82;1,4;3;2;1,82;2;3,43;5;5;4,11;5;4,25;2;2,33;1,88;48 HORAS;1,43;2,8;1;2,09;5;1,67;4;1;1;2;2;2;1200;1,92;4,5
44;SUCRE;VENTA DE COCO DELGADO;Cañitas;1,73;1,6;2,8;1;1,55;1,14;3,43;5;5;4,11;5;5;2,43;3,5;2;50 HORAS;2,57;2,8;1;2,27;5;2;3,67;1;1,33;1,2;3;2;1200;1,67;4,78
45;ROCAFUERTE;VENTA DE COSMETICOS;Calle Independencia;1,73;1,2;2,8;1;2;2,43;3,86;5;5;4,11;5;5;2,71;4,17;2;48 HORAS;1,29;3,4;1;2,36;5;1,5;5;1;2;1,8;2,33;2;600;2,25;3,72
46;ROCAFUERTE;VENTA DE ARTICULOS DEL HOGAR;Sosote;1,36;1,4;2,4;1;1,36;2,14;3,43;5;5;3,67;5;5;2,57;4,17;1,88;48 HORAS;1,29;3,4;1;1,91;5;1,83;5;1,33;1;1;2,33;1;1000;1,17;4,78
47;ROCAFUERTE;VENTA DE GALLINAS RODRIGUEZ;Danzarín;1,91;1,2;2,8;1;1,18;1,71;3,57;3,5;2;3,67;3,14;5;3;3,67;1,88;48 HORAS;1,71;3,4;1;2,18;5;2,17;3,67;1;1,5;2,6;2;2;800;1,92;4
48;SUCRE;AUTO FRENO Y ELECTROMECANICA GARCÍA ;Av Las Americas;1,55;1,2;2,2;1;1,18;1,71;3,14;4,33;2;4,11;5;4,25;2,57;3,33;2,13;48 HORAS;1,43;3,6;1,83;2,18;5;2,33;3,67;1;1,33;2;2,33;2;1000;2;5
49;ROCAFUERTE;VENTA DE PLASTICO MOREIRA;José Joaquín de Olmedo;1,73;1,8;2,4;1,8;1,09;1,57;3;4,33;2;4,11;4,43;5;3;3,83;2,25;48 HORAS;1,43;3,6;1,83;2,36;5;2,5;3,67;1;1,5;2,8;2;2;900;1,92;5
50;ROCAFUERTE;VENTA DE COCO;Puerto Loor;1,64;1,8;2,8;1,4;1,64;2,14;2,71;4,33;2;4,56;3,86;5;2,57;3,67;2,13;48 HORAS;1,71;3,8;1;1,91;5;2,33;3,67;1;1,17;2,4;2,5;2;1000;1,75;4,83
51;SUCRE;PISTA DE EVENTOS SALAZAR;Cañitas - Charapoto;1,82;1,8;1,4;1;2;2,43;3,71;4,33;2;4,11;3,86;4,63;2,43;3,67;2,38;48 HORAS;1,71;3,4;1,83;2,45;5;2,33;4;1;1,67;2,6;2,17;2;1300;1,67;4,89
52;SUCRE;EBANISTERIA AVILA;Cristo Rey - Charapoto;1,64;1,8;2,8;1;1,18;1,71;3,71;4,33;1;4,56;5;4,25;3;3,17;2;48 HORAS;1,57;3,2;1;2,09;5;2,5;3,67;1;1,17;2,4;2,5;2;1400;1,83;5
53;ROCAFUERTE;COMEDOR LOS GIRASOLES;Las Jaguas;2,09;1,6;2,8;1;2;2,43;4,14;4,33;2;4,56;3,86;4,75;2,71;3,17;2;48 HORAS;1,71;3,6;2,17;2;5;2;3,67;1;1,17;2;1,83;2;2000;2;4,83
54;SUCRE;DEPOSITO DE MADERA MURILLO;Bebedero;1,91;2;2,6;1,8;1,36;1,71;3;4,33;1;4,11;5;4,25;2,14;3,67;2,13;48 HORAS;1,57;3;1;1,82;5;2;4;1;1,33;2,2;2,67;2;1400;1,83;5
55;ROCAFUERTE;SALON DE BELLEZA ZAMBRANO;Atahualpa;1,64;1,8;2,6;1,6;1,91;1,86;4,14;4,33;2;4,11;5;4,63;3;3,33;1,88;48 HORAS;1,71;3,6;1;1,91;5;2,33;3,67;1,33;1,67;1,2;2,67;2;600;2;4,89
56;ROCAFUERTE;SERVIENTREGA;Av Don Bosco y Eloy Alfaro;1,73;1;2,4;1;1,91;2,29;3,14;3,5;2;3,33;4;5;2,57;3;1,88;48 HORAS;1,57;3,8;1;2;5;2;3,67;1;1,67;2;2;2;1320;2;4
57;ROCAFUERTE;VENTA DE BOCADITOS LOPEZ;Av Sucre;1,27;1;1,8;1;1,64;2,29;3,14;3,5;2;3,33;3,14;4,25;2,29;2,17;1,75;48 HORAS;1,71;3;1;1,45;5;1,67;3,67;1;1,33;2,4;2,5;2;800;2;4
58;ROCAFUERTE;MG-AGRO;Calle Eloy Alfaro ;1,82;1,8;2,2;1;1,64;2,29;2,29;3,5;2;3,33;4;3,88;2,43;2,33;2,13;48 HORAS;1,57;3;1;1,45;5;1,33;3,67;1;1;2,2;2;2;2000;3;4
59;PORTOVIEJO;VENTA DE MATERIALES DE CONSTRUCCIÒN;Crucita;1,36;1;1,6;1;1,73;2,14;3,14;3,5;2;3,33;4;5;2,29;3,5;2;48 HORAS;1,57;3,6;1;1,64;5;1,83;3,67;1;1;2;2;2;1200;2;4
60;ROCAFUERTE;SERVICIO DE TAXI;Pedro Carbo y Rocafuerte;1,73;1,8;2,8;1,8;1,18;1,71;2,29;3,5;2;3,33;4;4,5;3;3;1,88;52 HORAS;1,71;2,4;1;1,64;5;1,83;3,67;1;1,5;2,4;1,67;2;1200;2;4
61;ROCAFUERTE;TIENDA MENDOZA;Buenos Aires;1,64;1,2;2,8;1;1,18;1,86;3,57;3,5;2;3,33;3,14;5;2,86;3,67;2,13;48 HORAS;1,71;2,6;1,33;2,09;5;2,17;4;1;1,17;2,4;2;2;800;1,92;4
62;SUCRE;AUTOREPUESTOS SEZZ;Calle Eloy Alfaro y Santisteban;1,36;1;2,2;1;1,64;2;2,71;3,5;2;3,33;4;5;2,71;3,67;2;48 HORAS;1,71;3,6;1;1,82;5;2,17;3,67;1;1;2,4;2;2;1600;2;4
63;PORTOVIEJO;VENTA DE COCO CARREÑO;Riochico - El Pechiche;1,82;1,8;2,2;1,6;1,18;1,57;3,14;3,5;2;3,33;3,14;5;2,43;3,67;2,13;48 HORAS;1,71;3,2;1,17;1,82;5;2,17;3,67;1;1,33;2,2;2,17;2;1200;1,83;4
64;ROCAFUERTE;VENTA DE LUBRICANTES ZAMBRANO;La Recta;1,45;1;2,8;1;1,91;1,57;3,14;3,5;2;3,33;3,14;5;2,57;3,67;2,13;48 HORAS;1,57;3,6;1;2,09;5;2,17;3,67;1;1,5;2;2,17;2;2000;2;4
65;SUCRE;ELECTRONICA ZAMBRANO;Calle Manuel Cordova - Charapoto;1,27;1;2,8;1,4;1,64;2;3,14;3,5;2;3,67;4;4,13;2,43;3,17;1,63;48 HORAS;1,71;2,8;1;1,45;5;2,17;3,67;1;1,5;2;1,67;2;800;1;4
66;ROCAFUERTE;VENTA DE ARROZ CEDEÑO;Calle Daniel Rodriguez;1,64;1,8;2,8;1,8;1,18;2;3,14;3,5;2;3,33;4;5;3;3,67;1,75;48 HORAS;1,57;2,8;1;2;5;2,5;3,67;1;1,83;2,8;2,17;2;1000;1,83;3,94
67;SUCRE;R y K TARJETERIA Y COPIADORA;Calle 10 de agosto y Eloy Alfaro;1,91;1;2,4;1;1,55;1,43;2,71;3,5;2;3,33;3,14;4,63;2,71;3,67;2;48 HORAS;1,71;3,6;1;1,73;5;2,17;3,67;1;1,5;2;2;2;800;2;4
